price,reviews_per_month,accommodates,bathrooms,bedrooms,beds,property_type,room_type,neighbourhood,minimum_nights
180,0.74,9,2,5,5,House,Entire home/apt,Dorchester,29
154,0.57,6,2.5,2,2,Other,Entire home/apt,Dorchester,30
128,0.75,5,1,2,2,Apartment,Entire home/apt,Dorchester,30
103,0.63,6,1,3,7,Apartment,Entire home/apt,Dorchester,29
95,2.86,4,1,2,2,House,Private room,Jamaica Plain,1
128,0.56,5,1,2,2,Apartment,Entire home/apt,Dorchester,30
149,0.36,2,1,1,1,Apartment,Entire home/apt,Brighton,91
128,1,6,1,3,5,Apartment,Entire home/apt,West Roxbury,31
325,0.8,6,1,1,4,Other,Entire home/apt,Charlestown,2
175,1.8,2,1,1,1,House,Entire home/apt,Charlestown,91
188,0.15,1,1,1,1,Other,Private room,South Boston,1
200,1.27,4,1,1,1,Apartment,Entire home/apt,Roxbury,91
175,0.32,2,1,1,1,Other,Entire home/apt,Beacon Hill,91
100,4.09,4,1,1,2,Apartment,Entire home/apt,Charlestown,2
550,0.87,10,2.5,4,5,House,Entire home/apt,Jamaica Plain,3
25,0.06,1,1,1,1,Apartment,Private room,Roslindale,91
50,2.54,2,1,1,2,Other,Private room,Roslindale,91
59,0.03,1,1,1,1,Apartment,Private room,Dorchester,91
347,4.92,4,2,2,2,Apartment,Entire home/apt,South End,1
169,0.64,4,1,1,1,Other,Entire home/apt,Roxbury,3
149,0.61,2,1,1,1,Other,Entire home/apt,Roxbury,3
275,0.92,4,2,1,2,Other,Entire home/apt,Downtown,2
79,0.09,2,1,1,2,Apartment,Private room,Dorchester,91
61,0.3,1,1,1,1,Apartment,Private room,Dorchester,91
239,1.97,6,1,3,3,Apartment,Entire home/apt,Roslindale,4
385,0.11,5,2,2,2,Other,Entire home/apt,South End,2
125,4.73,4,1,1,2,Apartment,Entire home/apt,North End,2
90,0.75,2,1.5,1,1,Other,Private room,Roslindale,2
119,1.11,3,1,1,1,Apartment,Entire home/apt,West Roxbury,3
250,0.75,4,1,1,2,Apartment,Entire home/apt,Downtown,91
170,0.67,2,1,0,1,Apartment,Entire home/apt,South End,3
156,3.5,2,1,1,1,Apartment,Private room,South End,3
120,2.26,2,1,1,1,House,Private room,South Boston,1
140,3.01,1,1,1,1,House,Private room,South End,2
170,1.05,3,1,1,1,House,Entire home/apt,East Boston,2
125,0.09,3,1,1,1,Apartment,Entire home/apt,Beacon Hill,91
80,0.47,2,1,1,1,Apartment,Private room,Jamaica Plain,1
90,3.87,2,1,1,1,Apartment,Entire home/apt,Jamaica Plain,2
103,2.38,1,1,1,1,House,Private room,Back Bay,3
103,1.4,1,1,1,1,House,Private room,Back Bay,3
95,0.38,2,2,1,1,Apartment,Entire home/apt,Mission Hill,91
439,0.92,8,2,4,6,Apartment,Entire home/apt,Jamaica Plain,2
70,2.5,6,2.5,4,4,House,Private room,West Roxbury,28
90,3.57,3,1.5,2,2,House,Private room,Jamaica Plain,1
26,0.1,1,1,1,1,Other,Private room,Roslindale,91
99,3.08,2,1,1,2,House,Private room,Brighton,1
136,0.38,4,1,2,3,Other,Entire home/apt,Jamaica Plain,91
165,1.21,2,1,1,1,Apartment,Entire home/apt,South End,91
149,1.91,5,1,1,2,Apartment,Entire home/apt,North End,28
121,0.25,4,1.5,2,2,House,Entire home/apt,Jamaica Plain,5
145,2.04,2,1,1,1,Apartment,Entire home/apt,Downtown,10
200,0.78,2,1,1,1,Apartment,Entire home/apt,Beacon Hill,91
190,0.57,2,1,0,1,Apartment,Entire home/apt,South End,3
425,0.29,2,1,1,2,Apartment,Entire home/apt,Beacon Hill,91
76,7.06,4,2,1,3,House,Private room,Dorchester,1
147,3.08,4,1,2,2,Other,Entire home/apt,Brighton,3
47,5.24,1,2,1,1,House,Private room,Dorchester,1
66,0.46,1,1,1,1,Other,Private room,South Boston,91
65,0.51,1,1,1,1,Apartment,Private room,Roxbury,28
67,0.49,1,1,1,1,House,Private room,Roxbury,28
70,0.22,1,1,1,1,Apartment,Private room,Roxbury,28
350,0.31,6,3,3,4,House,Private room,South End,91
68,1.28,1,1,1,1,Apartment,Private room,Charlestown,28
80,3.82,2,2.5,1,1,House,Private room,Dorchester,1
70,2.06,2,1,1,1,Other,Private room,Mission Hill,2
75,7.03,3,2,1,3,House,Private room,Dorchester,1
83,7.4,3,1,1,2,House,Private room,Dorchester,1
60,0.56,1,2.5,1,1,House,Private room,Dorchester,1
109,0.49,2,1,0,1,Apartment,Entire home/apt,Charlestown,2
350,0.56,4,2,2,3,Other,Entire home/apt,Charlestown,3
77,7.18,3,2,1,2,House,Private room,Dorchester,1
140,1.55,4,1,1,2,Other,Entire home/apt,Brighton,2
63,7.72,3,2,1,2,House,Private room,Dorchester,1
265,1.74,7,2,2,3,Other,Entire home/apt,Bay Village,29
78,0.81,1,2,1,1,Other,Private room,Roxbury,60
105,5.15,2,1,1,1,Other,Private room,South Boston Waterfront,1
53,0.46,1,1,1,1,House,Private room,Roslindale,28
95,0.59,3,1,2,2,Other,Entire home/apt,Brighton,3
150,2.94,4,1.5,1,2,Apartment,Entire home/apt,Roxbury,2
145,2.69,4,1,2,3,House,Entire home/apt,Jamaica Plain,2
76,0.1,1,1.5,1,0,Other,Entire home/apt,Roslindale,30
110,0.55,5,1.5,2,2,House,Entire home/apt,Roslindale,28
70,1.59,2,1,1,0,Apartment,Private room,Dorchester,1
165,0.41,6,1.5,2,6,Other,Entire home/apt,Jamaica Plain,1
60,1.27,2,1,1,1,Other,Private room,West Roxbury,1
67,0.47,2,1,1,1,House,Private room,Roslindale,28
890,0.59,8,2.5,3,4,Other,Entire home/apt,South End,4
99,4.25,2,1.5,1,0,Other,Private room,Brighton,1
265,0.04,1,1,1,1,Other,Entire home/apt,Fenway,91
